ID	Name	Region	Latitude	Longitude	Source
S_Oroqen-1	Oroqen	EastAsia	50.4	126.5	Genomic_from_cell_lines
S_Oroqen-2	Oroqen	EastAsia	50.4	126.5	Genomic_from_cell_lines
S_Pathan-1	Pathan	SouthAsia	33.5	70.5	Genomic_from_cell_lines
S_Pathan-2	Pathan	SouthAsia	33.5	70.5	Genomic_from_cell_lines
S_Piapoco-1	Piapoco	America	3.0	-68.0	Genomic_from_cell_lines
S_Piapoco-2	Piapoco	America	3.0	-68.0	Genomic_from_cell_lines
S_Relli-1	Relli	SouthAsia	17.7	83.3	Genomic_from_blood
S_Relli-2	Relli	SouthAsia	17.7	83.3	Genomic_from_blood
S_Saami-1	Saami	WestEurasia	69.9	27.0	Genomic_from_saliva
S_Saami-2	Saami	WestEurasia	69.9	27.0	Genomic_from_saliva
S_Saharawi-1	Saharawi	Africa	27.3	-8.9	Genomic_from_blood
S_Saharawi-2	Saharawi	Africa	27.3	-8.9	Genomic_from_blood
S_Sardinian-1	Sardinian	WestEurasia	40.0	9.0	Genomic_from_cell_lines
S_Sardinian-2	Sardinian	WestEurasia	40.0	9.0	Genomic_from_cell_lines
S_She-1	She	EastAsia	27.0	119.0	Genomic_from_cell_lines
S_She-2	She	EastAsia	27.0	119.0	Genomic_from_cell_lines
S_Sindhi-1	Sindhi	SouthAsia	25.5	69.0	Genomic_from_cell_lines
S_Sindhi-2	Sindhi	SouthAsia	25.5	69.0	Genomic_from_cell_lines
S_Spanish-1	Spanish	WestEurasia	39.9	-4.0	Genomic_from_cell_lines
S_Spanish-2	Spanish	WestEurasia	39.9	-4.0	Genomic_from_cell_lines
S_Surui-1	Surui	America	-11.0	-62.0	Genomic_from_cell_lines
S_Surui-2	Surui	America	-11.0	-62.0	Genomic_from_cell_lines
S_Tajik-1	Tajik	WestEurasia	37.508	71.568	Genomic_from_blood
S_Tajik-2	Tajik	WestEurasia	37.508	71.568	Genomic_from_blood
S_Thai-1	Thai	EastAsia	13.8	100.5	Genomic_from_cell_lines
S_Thai-2	Thai	EastAsia	13.8	100.5	Genomic_from_cell_lines
S_Tlingit-1	Tlingit	CentralAsiaSiberia	53	158.65	Genomic_from_blood
S_Tlingit-2	Tlingit	CentralAsiaSiberia	55.18	166	Genomic_from_blood
S_Tu-1	Tu	EastAsia	36.0	101.0	Genomic_from_cell_lines
S_Tu-2	Tu	EastAsia	36.0	101.0	Genomic_from_cell_lines
S_Tubalar-1	Tubalar	CentralAsiaSiberia	51.13333333	87	Genomic_from_blood
S_Tubalar-2	Tubalar	CentralAsiaSiberia	51.13333333	87	Genomic_from_blood
S_Tujia-1	Tujia	EastAsia	29.0	109.0	Genomic_from_cell_lines
S_Tujia-2	Tujia	EastAsia	29.0	109.0	Genomic_from_cell_lines
S_Turkish-1	Turkish	WestEurasia	38.7	35.5	Genomic_from_blood
S_Turkish-2	Turkish	WestEurasia	38.7	35.5	Genomic_from_blood
S_Tuscan-1	Tuscan	WestEurasia	43.0	11.0	Genomic_from_cell_lines
S_Tuscan-2	Tuscan	WestEurasia	43.0	11.0	Genomic_from_cell_lines
S_Ulchi-1	Ulchi	CentralAsiaSiberia	52.43	140.42	Genomic_from_blood
S_Ulchi-2	Ulchi	CentralAsiaSiberia	52.37	140.45	Genomic_from_blood
S_Uygur-1	Uygur	EastAsia	44.0	81.0	Genomic_from_cell_lines
S_Uygur-2	Uygur	EastAsia	44.0	81.0	Genomic_from_cell_lines
S_Xibo-1	Xibo	EastAsia	43.5	81.5	Genomic_from_cell_lines
S_Xibo-2	Xibo	EastAsia	43.5	81.5	Genomic_from_cell_lines
S_Yadava-1	Yadava	SouthAsia	17.7	83.3	Genomic_from_blood
S_Yadava-2	Yadava	SouthAsia	17.7	83.3	Genomic_from_blood
S_Yakut-1	Yakut	CentralAsiaSiberia	63.0	129.5	Genomic_from_cell_lines
S_Yakut-2	Yakut	CentralAsiaSiberia	63.0	129.5	Genomic_from_cell_lines
S_Yemenite_Jew-1	Yemenite_Jew	WestEurasia	15.4	44.2	Genomic_from_cell_lines
S_Yemenite_Jew-2	Yemenite_Jew	WestEurasia	15.4	44.2	Genomic_from_cell_lines
S_Yi-1	Yi	EastAsia	28.0	103.0	Genomic_from_cell_lines
S_Yi-2	Yi	EastAsia	28.0	103.0	Genomic_from_cell_lines
S_Yoruba-1	Yoruba	Africa	7.4	3.9	Genomic_from_cell_lines
S_Yoruba-2	Yoruba	Africa	7.4	3.9	Genomic_from_cell_lines
S_Zapotec-1	Zapotec	America	16.5	-97.2	Genomic_from_cell_lines
S_Zapotec-2	Zapotec	America	16.5	-97.2	Genomic_from_cell_lines
S_Dai-1	Dai	EastAsia	21.0	100.0	Genomic_from_cell_lines
S_Dai-2	Dai	EastAsia	21.0	100.0	Genomic_from_cell_lines
S_Dai-3	Dai	EastAsia	21.0	100.0	Genomic_from_cell_lines
S_Even-1	Even	CentralAsiaSiberia	57.53	135.88	Genomic_from_blood
S_Even-2	Even	CentralAsiaSiberia	57.53	135.88	Genomic_from_blood
S_Even-3	Even	CentralAsiaSiberia	57.53	135.88	Genomic_from_blood
S_Finnish-1	Finnish	WestEurasia	60.2	24.9	Genomic_from_cell_lines
S_Finnish-2	Finnish	WestEurasia	60.2	24.9	Genomic_from_cell_lines
S_Finnish-3	Finnish	WestEurasia	60.2	24.9	Genomic_from_cell_lines
S_Japanese-2	Japanese	EastAsia	37.85	139.0	Genomic_from_cell_lines
S_Japanese-3	Japanese	EastAsia	37.85	139.0	Genomic_from_cell_lines
S_Jordanian-1	Jordanian	WestEurasia	32.055	35.914	Genomic_from_blood
S_Jordanian-3	Jordanian	WestEurasia	32.055	35.914	Genomic_from_blood
S_Ju_hoan_North-2	Ju_hoan_North	Africa	-18.9	21.5	Genomic_from_cell_lines
S_Ju_hoan_North-3	Ju_hoan_North	Africa	-18.9	21.5	Genomic_from_cell_lines
S_Mbuti-1	Mbuti	Africa	1.0	29.0	Genomic_from_cell_lines
S_Mbuti-2	Mbuti	Africa	1.0	29.0	Genomic_from_cell_lines
S_Mbuti-3	Mbuti	Africa	1.0	29.0	Genomic_from_cell_lines
S_Naxi-1	Naxi	EastAsia	26.0	100.0	Genomic_from_cell_lines
S_Naxi-3	Naxi	EastAsia	26.0	100.0	Genomic_from_cell_lines
S_Palestinian-1	Palestinian	WestEurasia	32.0	35.0	Genomic_from_cell_lines
S_Palestinian-2	Palestinian	WestEurasia	32.0	35.0	Genomic_from_cell_lines
S_Quechua-1	Quechua	America	-13.5	-72.0	Genomic_from_cell_lines
S_Quechua-2	Quechua	America	-13.5	-72.0	Genomic_from_cell_lines
S_Quechua-3	Quechua	America	-13.5	-72.0	Genomic_from_blood
S_Punjabi-1	Punjabi	SouthAsia	31.5	74.3	Genomic_from_cell_lines
S_Punjabi-2	Punjabi	SouthAsia	31.5	74.3	Genomic_from_cell_lines
S_Punjabi-3	Punjabi	SouthAsia	31.5	74.3	Genomic_from_cell_lines
S_Papuan-1	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-10	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-11	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-12	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-13	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-14	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-2	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-4	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-5	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-6	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-7	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-8	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
S_Papuan-9	Papuan	Oceania	-4.0	143.0	Genomic_from_cell_lines
BR_Kashmiri_Pandit-1	Kashmiri_Pandit	SouthAsia	34.43333333	75.75	Genomic_from_blood
BR_Kharia-1	Kharia	SouthAsia	22.5	83.95	Genomic_from_blood
BR_Kurumba-1	Kurumba	SouthAsia	10.78333333	76.65	Genomic_from_blood
BR_Mala-1	Mala	SouthAsia	17.68333333	83.21666667	Genomic_from_blood
BR_Onge-1	Onge	SouthAsia	11.66666667	92.65	Genomic_from_blood
BR_Onge-2	Onge	SouthAsia	11.66666667	92.65	Genomic_from_blood
S_Kongo-2	Kongo	Africa	2.5	11.8	Genomic_from_blood
S_Nahua-1	Nahua	America	19.01	-99.06	Genomic_from_saliva
S_Nahua-2	Nahua	America	19.01	-99.06	Genomic_from_saliva
S_Chipewyan-1	Chipewyan	America	59.6	-107.3	Genomic_from_blood
S_Chipewyan-2	Chipewyan	America	59.6	-107.3	Genomic_from_blood
S_Cree-1	Cree	America	50.3	-102.5	Genomic_from_blood
S_Cree-2	Cree	America	50.3	-102.5	Genomic_from_blood
S_Igbo-1	Igbo	Africa	6.0	7.0	Genomic_from_blood
S_Igbo-2	Igbo	Africa	6.0	7.0	Genomic_from_blood
S_Lemande-1	Lemande	Africa	4.5	11.1	Genomic_from_blood
S_Lemande-2	Lemande	Africa	4.5	11.1	Genomic_from_blood
T_Sherpa-1	Sherpa	SouthAsia	27.8	86.7	Genomic from saliva
T_Sherpa-2	Sherpa	SouthAsia	27.8	86.7	Genomic from saliva
T_Tibetan-1	Tibetan	SouthAsia	28.9	84.3	Genomic from saliva
T_Tibetan-2	Tibetan	SouthAsia	28.9	84.3	Genomic from saliva
T_Aari-1	Aari	Africa	5.8	36.5	Genomic_from_blood
T_Aari-2	Aari	Africa	5.8	36.5	Genomic_from_blood
T_Agaw-1	Agaw	Africa	11.0	36.9	Genomic_from_blood
T_Agaw-2	Agaw	Africa	11.0	36.9	Genomic_from_blood
T_Amhara-1	Amhara	Africa	9.7	39.7	Genomic_from_blood
T_Amhara-2	Amhara	Africa	9.7	39.7	Genomic_from_blood
T_Baka-1	Baka	Africa	2.5	12.7	Genomic_from_blood
T_Baka-2	Baka	Africa	2.5	12.7	Genomic_from_blood
T_Bakola-1	Bakola	Africa	3.1	10.6	Genomic_from_blood
T_Bakola-2	Bakola	Africa	3.1	10.6	Genomic_from_blood
T_Bedzan-1	Bedzan	Africa	5.3	11.3	Genomic_from_blood
T_Bedzan-2	Bedzan	Africa	5.3	11.3	Genomic_from_blood
T_Bulala-1	Bulala	Africa	12.9	17.4	Genomic_from_blood
T_Bulala-2	Bulala	Africa	12.9	17.4	Genomic_from_blood
T_Elmolo-1	Elmolo	Africa	3.0	36.9	Genomic_from_blood
T_Elmolo-2	Elmolo	Africa	3.0	36.9	Genomic_from_blood
T_Fulani-1	Fulani	Africa	11.1	14.1	Genomic_from_blood
T_Fulani-2	Fulani	Africa	11.1	14.1	Genomic_from_blood
T_Hadza-1	Hadza	Africa	-3.8	35.3	Genomic_from_blood
T_Hadza-2	Hadza	Africa	-3.8	35.3	Genomic_from_blood
T_Iraqw-1	Iraqw	Africa	-3.7	35.5	Genomic_from_blood
T_Iraqw-2	Iraqw	Africa	-3.7	35.5	Genomic_from_blood
T_Kaba-1	Kaba	Africa	7.2	16.4	Genomic_from_blood
T_Kaba-2	Kaba	Africa	7.2	16.4	Genomic_from_blood
T_Kikuyu-1	Kikuyu	Africa	0.4	35.6	Genomic_from_blood
T_Kikuyu-2	Kikuyu	Africa	0.4	35.6	Genomic_from_blood
